id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
335982,1,5,2,"SC Ganguly","BB McCullum","Z Khan",0,0,0,1,caught,"SC Ganguly","JH Kallis",NA,"Kolkata Knight Riders","Royal Challengers Bangalore"
335982,1,12,1,"RT Ponting","BB McCullum","JH Kallis",0,0,0,1,caught,"RT Ponting","P Kumar",NA,"Kolkata Knight Riders","Royal Challengers Bangalore"
335982,1,17,1,"DJ Hussey","BB McCullum","AA Noffke",0,0,0,1,caught,"DJ Hussey","CL White",NA,"Kolkata Knight Riders","Royal Challengers Bangalore"
335982,2,1,1,"R Dravid","W Jaffer","I Sharma",0,0,0,1,bowled,"R Dravid",NA,NA,"Royal Challengers Bangalore","Kolkata Knight Riders"
335982,2,2,2,"V Kohli","W Jaffer","AB Dinda",0,0,0,1,bowled,"V Kohli",NA,NA,"Royal Challengers Bangalore","Kolkata Knight Riders"
335982,2,4,5,"JH Kallis","W Jaffer","AB Agarkar",0,0,0,1,caught,"JH Kallis","M Kartik",NA,"Royal Challengers Bangalore","Kolkata Knight Riders"
335982,2,5,2,"W Jaffer","CL White","AB Dinda",0,0,0,1,caught,"W Jaffer","RT Ponting",NA,"Royal Challengers Bangalore","Kolkata Knight Riders"
335982,2,7,5,"MV Boucher","CL White","SC Ganguly",0,0,0,1,caught,"MV Boucher","M Kartik",NA,"Royal Challengers Bangalore","Kolkata Knight Riders"
335982,2,8,2,"B Akhil","CL White","AB Agarkar",0,0,0,1,caught,"B Akhil","RT Ponting",NA,"Royal Challengers Bangalore","Kolkata Knight Riders"
335982,2,8,8,"CL White","AA Noffke","AB Agarkar",0,0,0,1,caught,"CL White","WP Saha",NA,"Royal Challengers Bangalore","Kolkata Knight Riders"
335982,2,11,1,"AA Noffke","P Kumar","SC Ganguly",1,0,1,1,"run out","AA Noffke","AB Agarkar,WP Saha",NA,"Royal Challengers Bangalore","Kolkata Knight Riders"
