id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
335982,1,0,1,"SC Ganguly","BB McCullum","P Kumar",0,1,1,0,NA,NA,NA,legbyes,"Kolkata Knight Riders","Royal Challengers Bangalore"
335982,1,0,3,"BB McCullum","SC Ganguly","P Kumar",0,1,1,0,NA,NA,NA,wides,"Kolkata Knight Riders","Royal Challengers Bangalore"
335982,1,0,7,"BB McCullum","SC Ganguly","P Kumar",0,1,1,0,NA,NA,NA,legbyes,"Kolkata Knight Riders","Royal Challengers Bangalore"
335982,1,2,3,"SC Ganguly","BB McCullum","P Kumar",0,1,1,0,NA,NA,NA,legbyes,"Kolkata Knight Riders","Royal Challengers Bangalore"
335982,1,3,1,"BB McCullum","SC Ganguly","AA Noffke",0,5,5,0,NA,NA,NA,wides,"Kolkata Knight Riders","Royal Challengers Bangalore"
335982,1,3,3,"BB McCullum","SC Ganguly","AA Noffke",0,1,1,0,NA,NA,NA,legbyes,"Kolkata Knight Riders","Royal Challengers Bangalore"
335982,1,10,6,"RT Ponting","BB McCullum","JH Kallis",0,4,4,0,NA,NA,NA,byes,"Kolkata Knight Riders","Royal Challengers Bangalore"
335982,1,12,5,"BB McCullum","DJ Hussey","JH Kallis",0,1,1,0,NA,NA,NA,wides,"Kolkata Knight Riders","Royal Challengers Bangalore"
335982,1,14,5,"BB McCullum","DJ Hussey","CL White",0,2,2,0,NA,NA,NA,wides,"Kolkata Knight Riders","Royal Challengers Bangalore"
335982,2,0,2,"W Jaffer","R Dravid","AB Dinda",0,1,1,0,NA,NA,NA,wides,"Royal Challengers Bangalore","Kolkata Knight Riders"
335982,2,1,3,"V Kohli","W Jaffer","I Sharma",0,4,4,0,NA,NA,NA,legbyes,"Royal Challengers Bangalore","Kolkata Knight Riders"
335982,2,2,5,"W Jaffer","JH Kallis","AB Dinda",0,1,1,0,NA,NA,NA,wides,"Royal Challengers Bangalore","Kolkata Knight Riders"
335982,2,3,4,"JH Kallis","W Jaffer","I Sharma",0,1,1,0,NA,NA,NA,legbyes,"Royal Challengers Bangalore","Kolkata Knight Riders"
335982,2,6,4,"MV Boucher","CL White","AB Agarkar",0,1,1,0,NA,NA,NA,wides,"Royal Challengers Bangalore","Kolkata Knight Riders"
